word,content
standard,"Right Arrow Recommended Searches Owner's Manual Grom Rebel Supersport Monkey Super Cub Side by Side 125 Find a Dealer STREET TOURING ADVENTURE CRUISER STANDARD SUPERSPORT SPORT NEO-SPORTS CAFÉ miniMOTO DUAL SPORT SCOOTER TOURING Updated Gold Wing Tour Base MSRP: $28,300 Build Explore Updated Gold Wing Base MSRP: $23,900 Build Explore CTX700 DCT Base MSRP: $8,399 Build Explore View All TOURING ADVENTURE VFR1200X Base MSRP: $15,999 Build Explore Africa Twin Adventure Sports ES Base MSRP: $17,199 Build Explore Africa Twin Base MSRP: $14,399 Build Explore New NC750X Base MSRP: $8,199 Build Explore XR650L Base MSRP: $6,999 Build Explore CB500X Base MSRP: $6,999 Build Explore CRF450RL Base MSRP: $9,999 Build Explore New CRF300L Rally Base MSRP: $5,999 Build Explore New CRF300L Base MSRP: $5,249 Build Explore View All ADVENTURE CRUISER Fury Base MSRP: $10,599 Build Explore Shadow Phantom Base MSRP: $7,899 Build Explore Shadow Aero Base MSRP: $7,699 Build Explore CTX700N DCT ABS Base MSRP: $7,699 Build Explore New Rebel 1100 Base MSRP: $9,299 Build Explore Rebel 500 Base MSRP: $6,299 Build Explore Rebel 300 Base MSRP: $4,599 Build Explore View All CRUISER STANDARD Updated CB1000R Black Edition Base MSRP: $12,999 Explore CB650R ABS Base MSRP: $9,199 Build Explore CB650F Base MSRP: $8,249 Build Explore CB500F Base MSRP: $6,499 Build Explore CB300R ABS Base MSRP: $4,949 Build Explore CB300F Base MSRP: $4,349 Build Explore Monkey Base MSRP: $3,999 Build Explore Super Cub C125 ABS Base MSRP: $3,749 Build Explore New Trail125 ABS Base MSRP: $3,899 Build Explore View All STANDARD SUPERSPORT CBR1000RR-R Fireblade SP Base MSRP: $28,500 Build Explore CBR1000RR Base MSRP: $16,499 Build Explore CBR600RR Base MSRP: $11,899 Build Explore View All SUPERSPORT SPORT Updated CB1000R Black Edition Base MSRP: $12,999 Explore CBR650R ABS Base MSRP: $9,699 Build Explore CBR650F Base MSRP: $8,749 Build Explore CB650R ABS Base MSRP: $9,199 Build Explore CB650F Base MSRP: $8,249 Build Explore CBR500R ABS Base MSRP: $6,999 Build Explore CB500F Base MSRP: $6,499 Build Explore CBR300R Base MSRP: $4,799 Build Explore CB300R ABS Base MSRP: $4,949 Build Explore CB300F Base MSRP: $4,349 Build Explore New Grom Base MSRP: $3,399 Build Explore View All SPORT NEO-SPORTS CAFÉ Updated CB1000R Black Edition Base MSRP: $12,999 Explore CB650R ABS Base MSRP: $9,199 Build Explore CB300R ABS Base MSRP: $4,949 Build Explore View All NEO-SPORTS CAFÉ miniMOTO New Grom Base MSRP: $3,399 Build Explore Monkey Base MSRP: $3,999 Build Explore Super Cub C125 ABS Base MSRP: $3,749 Build Explore New Trail125 ABS Base MSRP: $3,899 Build Explore View All miniMOTO DUAL SPORT XR650L Base MSRP: $6,999 Build Explore CRF450RL Base MSRP: $9,999 Build Explore New CRF300L Rally Base MSRP: $5,999 Build Explore New CRF300L Base MSRP: $5,249 Build Explore New Trail125 ABS Base MSRP: $3,899 Build Explore View All DUAL SPORT SCOOTER ADV150 Base MSRP: $4,299 Build Explore Updated PCX Base MSRP: $3,799 Build Explore Ruckus Base MSRP: $2,799 Build Explore Metropolitan Base MSRP: $2,499 Build Explore View All SCOOTER OFF-ROAD TRAIL COMPETITION ADVENTURE DUAL SPORT TRAIL 2022 CRF450X Base MSRP: $9,799 Build Explore 2021 CRF250F Base MSRP: $4,699 Build Explore 2019 CRF230F Base MSRP: $4,349 Build Explore 2021 CRF125F BIG WHEEL Base MSRP: $3,599 Build Explore 2021 CRF125F Base MSRP: $3,199 Build Explore 2021 CRF110F Base MSRP: $2,499 Build Explore 2021 CRF50F Base MSRP: $1,599 Build Explore View All TRAIL COMPETITION 2022 CRF450RWE Base MSRP: $12,399 Explore 2022 CRF450R Base MSRP: $9,599 Explore 2022 CRF450R-S Base MSRP: $8,599 Explore 2022 CRF450RX Base MSRP: $9,899 Build Explore 2022 CRF450X Base MSRP: $9,799 Build Explore 2021 CRF250R Base MSRP: $7,999 Build Explore 2021 CRF250RX Base MSRP: $8,399 Build Explore 2021 CRF150R Base MSRP: $5,199 Build Explore 2020 MONTESA COTA 301RR Base MSRP: $11,699 Build Explore 2020 MONTESA COTA 4RT Base MSRP: $8,099 Build Explore View All COMPETITION ADVENTURE Africa Twin Adventure Sports ES Base MSRP: $17,199 Build Explore Africa Twin Base MSRP: $14,399 Build Explore XR650L Base MSRP: $6,999 Build Explore CRF450RL Base MSRP: $9,999 Build Explore New CRF300L Rally Base MSRP: $5,999 Build Explore New CRF300L Base MSRP: $5,249 Build Explore View All ADVENTURE DUAL SPORT XR650L Base MSRP: $6,999 Build Explore CRF450RL Base MSRP: $9,999 Build Explore New CRF300L Rally Base MSRP: $5,999 Build Explore New CRF300L Base MSRP: $5,249 Build Explore New Trail125 ABS Base MSRP: $3,899 Build Explore View All DUAL SPORT ATV REC/UTILITY SPORT REC/UTILITY FourTrax Rincon Base MSRP: $9,499 Build Explore FourTrax Foreman Rubicon 4X4 Base MSRP: $8,699 Build Explore FourTrax Foreman 4X4 Base MSRP: $7,399 Build Explore FourTrax Rancher Base MSRP: $5,499 Build Explore FourTrax Recon Base MSRP: $4,299 Build Explore View All REC/UTILITY SPORT TRX250X Base MSRP: $5,049 Build Explore TRX90X Base MSRP: $3,199 Build Explore View All SPORT SXS SPORT REC/UTILITY SPORT Talon 1000X-4 FOX Live Valve Base MSRP: $23,999 Build Explore Talon 1000X-4 Base MSRP: $21,999 Build Explore TALON 1000R FOX LIVE VALVE Base MSRP: $23,099 Build Explore Talon 1000R Base MSRP: $20,999 Build Explore TALON 1000X FOX LIVE VALVE Base MSRP: $22,099 Build Explore Talon 1000X Base MSRP: $19,999 Build Explore View All SPORT REC/UTILITY Pioneer 1000-5 Base MSRP: $17,299 Build Explore Pioneer 1000 Base MSRP: $15,899 Build Explore Pioneer 700-4 Base MSRP: $12,399 Build Explore Pioneer 700 Base MSRP: $10,999 Build Explore New Pioneer 520 Base MSRP: $9,499 Build Explore Pioneer 500 Base MSRP: $8,499 Build Explore View All REC/UTILITY Accessories Customize Your Ride with Honda Accessories BUY NOW View Accessories Licensed Products & Apparel Oils & Chemicals Research Tools Build & Price Payment Calculator Find a Dealer Request a Quote Budget Calculator ATV Chooser Current Offers Apply for Financing Recall Information Customer Relations DCT Technology Experience Honda Racing Extended Warranty Events Rider Education Demo Rides FEATURED MODELS Select a category from the below: Street Off-Road ATV SXS Street Street NEW Grom Base MSRP $3,399 Build Explore NEW NC750X Base MSRP $8,199 Build Explore Gold Wing Base MSRP $23,900 Build Explore NEW Rebel 1100 Base MSRP $9,299 Build Explore Off-Road CRF450R Base MSRP $9,599 Explore CRF450R-S Base MSRP $8,599 Explore CRF300L Base MSRP $5,249 Build Explore CRF450X Base MSRP $9,799 Build Explore ATV FourTrax Rancher Base MSRP $5,499 Build Explore FourTrax Foreman 4X4 Base MSRP $7,399 Build Explore FourTrax Foreman Rubicon 4x4 EPS Base MSRP $8,799 Build Explore TRX250X Base MSRP $5,049 Build Explore SXS Pioneer 520 Base MSRP $9,499 Build Explore Featured Offer 0.99% APR FINANCING for Up to 60 Months On all 2019 Gold Wings Offer Details *Offer valid through 3/31/2020 See All Offers Right Arrow Featured Offer GET $3,000 IN FACTORY-TO-DEALER INCENTIVES ON 2019 AFRICA TWIN ADVENTURE SPORTS OFFER DETAILS *Offer valid through 3/31/2020 See All Offers Right Arrow Automatic DCT Transmission Exclusive technology that will change the way you ride."
honda,"The Honda Automatic DCT Transmission makes the best parts of riding more enjoyable while, reducing unnecessary hassles."
explore,There’s a lot to explore out there—let’s start by exploring DCT.
honda,"With so many models to choose from, our ATV Chooser tool makes it easier than ever to pick the Honda ATV with the right mix of features for you—size, capability, where you’re going to go, how you’re going to use it, and even cost."
honda,GET THE DETAILS Adventure Awaits Track your next epic ride Honda has teamed up with REVER to help you get the most out of every ride.
honda,LEARN MORE You are now leaving the Honda Powersports web site and entering an independent site.
honda,"American Honda Motor Co. Inc. is not responsible for the content presented by any independent website, including advertising claims, special offers, illustrations, names or endorsements."
honda,"CLICK HERE TO PROCEED Sign up to get the latest updates It's easy to sign up for Honda email updates, where you'll receive news and information on new models, events, newsletters and promotions."
honda,"Better still, you can choose to receive email messages on all Honda products or just those you're most interested in."
sport,Error: Some global error Please provide us with the following required information: First Name* First Name Error: Required First Name Last Name* Last Name Error: Required Last Name Email* Email Error: Please enter email address Zip code* Zip code Error: Invalid Zipcode Modify your preferences by checking or unchecking the bubbles below Select all categories Scooters Scooters Motorcycles Select all motorcycles Competition Cruiser Sport / Supersport Touring / Sport Touring Trail Dual Sport / Adventure ATVs & SxS Select all ATVs & SxS Sport SXS Rec/Utility SxS Sport ATV Rec/Utility ATV Other Select all other Events Racing General News & Information Gold Wing Navigation/Software Updates We will never share any of your information with other entities.
honda,You have been successfully subscribed to Honda Powersports email updates.
honda,"Continue Vehicles Street Off-Road ATV SxS Police Bike Research Tools Build & Price Request a Quote Current Offers Payment Calculator Budget Calculator ATV Chooser Apply for Financing Find a Dealer Accessories Shop Oils & Chemicals Licensed Products & Apparel Buy Now Experience Honda Racing Events Rider Education Extended Warranty Demo Rides Dealer Info Powerhouse Dealers Become a Dealer Downloads Owner's Manuals Wallpapers Help FAQs Customer Relations Recall Information SMS Terms Other Terms of Use Honda.com Prop 65 Ad Choices © 2021 American Honda Motor Co., Inc.• Powersports Division Twitter Instagram YouTube Facebook We use cookies to improve your experience on this site and show you personalized advertising."
road,"From Wikipedia, the free encyclopedia Jump to navigation Jump to search Small motorcycle-like motor road vehicle Honda Hobbit PA 50/Camino moped (European market) The term moped (/ˈmoʊpɛd/ MOH-ped) originally referred to a type of small motorcycle with both a motorcycle engine and bicycle pedals, generally having a less stringent licensing requirement than full motorcycles or automobiles."
motorcycle,"[1] Some mopeds have a step-through frame design, while others have motorcycle frame designs, including a backbone and a raised fuel tank, mounted directly between the saddle and the head tube."
motorcycle,Most are similar to a regular motorcycle but with pedals and a crankset that may be used with or instead of motor drive.
motorcycle,In some countries a moped can be any motorcycle with an engine capacity below 50cc.
engine,"[2] Contents 1 Etymology 2 History 3 Emissions 4 Safety 5 Individual countries/regions 6 Sports moped 7 See also 8 References 9 External links Etymology[edit] The original moped – a bicycle equipped with an engine The word moped was coined by the Swedish journalist Harald Nielsen in 1952, as a portmanteau of the Swedish words motor and pedaler."
engine,"[3][4] According to Douglas Harper, the Swedish terms originated from ""(trampcykel med) mo(tor och) ped(aler)"", which means ""pedal cycle with engine and pedals"" (the earliest versions had auxiliary pedals)."
engine,"The term moped has now been applied by some regional governments to vehicles without pedals such as motor scooters, based on criteria of restricted engine displacement, speed, and/or power output."
engine,"Better transmissions with wider ranges, better clutches and much better engine performance made pedals obsolete on most motorcycles by 1918 but the pedals on mopeds remained valuable for their original purposes as late as the 1990s."
engine,"Slightly larger machines, commonly with a 98 cc (6.0 cu in) engine were known as autocycles."
road,"In 1977, the Vienna Convention on Road Traffic considers the moped any two-wheeled or three-wheeled vehicle which is fitted with an internal combustion engine having a cylinder capacity not exceeding 50 cc."
engine,"Currently in the United States, the EPA allows motorcycles, scooters, and mopeds with engine displacements less than 280cc to emit ten times the NOx and six times the CO as the median Tier II bin 5 automobile regulations."
engine,"Mopeds are often illegally tuned for higher speeds, powers or engine displacements than allowed."
motorcycle,"To ride a scooter over 50cc you need a motorcycle licence in all states, but you can ride a scooter (max 50cc, 50 km/h) with a car licence in QLD[19] and SA[20] and with a moped specific licence in WA[21] otherwise a general motorcycle licence is required."
engine,"From 1985 to 1997, a moped was defined as human propulsion vehicle aided by an engine displacing less than 50 cc (3.1 cu in), no more than 3.0 hp (2.2 kW; 3.0 PS), having a maximum speed of no more than 50 km/h (31 mph) and having pedals similar to those found in a bicycle."
engine,"From 1997 onwards, the legal definition of moped changed to ""a two- or three-wheeled vehicle having an internal combustion engine with displacement inferior to 50 cc (3.1 cu in) and maximum factory speed of less than 50 km/h (31 mph)""."
motorcycle,"In Alberta, mopeds up to 49 cc (3.0 cu in) and over 55 kg (121 lb) used to require a class 6 motorcycle license."
engine,"The following criteria apply to a moped (limited speed motorcycle):[26] Definition of a limited-speed motorcycle: no more than 50 cc (3.1 cu in) engine displacement or 1.5 kilowatts (2.04 PS; 2.01 bhp) motor rating does not require clutching or shifting after the drive system is engaged has a maximum speed on level ground of 70 km/h (43 mph) weighs no more than 95 kg (209 lb) excluding fuel and batteries wheels must be 25.4 cm (10.0 in) in diameter or more Requirements for operation of a moped (limited speed motorcycle): the vehicle must be registered, licensed and insured for road use the operator must have a driver's license (any class) the operator must wear a helmet In Ontario, ""a moped is a motor-assisted bicycle fitted with pedals that can be operated at all times and has a maximum speed of 50 km/h (31 mph)""."
motorcycle,A car driver's or motorcycle license is needed and the driver must be at least 18 years old to drive a big one.
engine,"The power of an internal combustion engine moped is limited to 2.5 horsepower, the speed limit is 45 km/h (28 mph), and engine capacity can be a maximum of 50 cc (3.1 cu in) (with electric motor, maximum power is restricted to 4.0 kilowatts (5.4 PS; 5.4 bhp))."
motorcycle,"Most teens that don't have the money for the costly A1 driver's license (first step towards the full motorcycle license), which allows them to drive a 125 cc (7.6 cu in) scooter or motorcycle, go for the less expensive AM driver's license, which allows them to drive a moped or scooter with a maximum speed of 45 km/h (28 mph), but less than 1% chose a moped over a scooter based bike."
honda,"The most known ""duckling"" was the 1980s Honda 50 cc moped, which is still in use today."
motorcycle,": (The Aixam micro car) wearing a motorcycle helmet is optional, otherwise it is mandatory, and the failure to wear one can be fined by the police."
road,Their maximum allowed speed on any road is 40 km/h (25 mph).
motorcycle,Motorcycle driving license holders also can drive them.
engine,"Ireland A moped is defined as being mechanically propelled ""bicycle"" fitted with an engine having a capacity less 50 cc and a maximum design speed no more than 45 km/h."
motorcycle,"[30] By contrast, a motorcycle is defined in the same way, except that it has an engine larger than 50 cc or a top speed in excess of 45 km/h."
honda,Honda Super Cub) are known as underbones (kapchai in Malaysia).
racing,"Some people tuned up their mopeds for illegal racing on the highway, increasing the top speed of certain moped to be more than 200 km/h."
motorcycle,If you have a car or motorcycle driving license you get the AM-Category for free.
road,"There are 2 categories of mopeds: The 25 km/h version (called snorfiets / snorscooter) which is seen as a bicycle on the road and does not require a helmet, and may use compulsory cycle paths."
engine,Mopeds are classified as having an engine capacity not exceeding 50 cc (3.1 cu in) and a maximum speed not exceeding 50 km/h (31 mph).
honda,"Philippines Many underbones, especially the Honda XRM and Honda Bravo, are modified, some are ""pimped out"" with stereo systems and neon lights, while others are tuned, even stripped to their frames, for illegal street racing."
engine,"is a two- or three-wheeled motor vehicle that does not require the use pedals, equipped with an engine of 50 cc (3.1 cu in) or less, with a maximum speed of no more than 45 km/h (28 mph) (artificially limited in some models)."
engine,"[35][36] Portugal In Portugal, a moped is a two- or three-wheel motor vehicle with an engine of 50 cc (3.1 cu in) or less, or having an engine with more than 50 cc but with a maximum speed of no more than 45 km/h (28 mph)."
engine,Russia The moped is legally defined as a two- or three-wheeled vehicle with engine displacement of no more than 50 cc (3.1 cu in) and maximum speed of no more than 50 km/h (31 mph).
engine,In Spain a moped is defined as a two- or three-wheeled motor vehicle with an engine of 50 cc (3.1 cu in) or less with a maximum speed of no more than 45 km/h (28 mph).
engine,South Africa In South Africa a moped is defined as a scooter with a 50 cc (3.1 cu in) engine with a maximum speed of no more than 45 km/h (28 mph).
engine,"Class 1 mopeds—also known as EU mopeds, as they were introduced to comply with European Union rules—are designed for a maximum speed of 45 km/h (28 mph) powered by an engine of 50 cc (3.1 cu in) or, if it has an electric motor, has a maximum power of 4.0 kW (5.44 PS; 5.36 bhp)."
engine,Class 2 mopeds are designed for a top speed of 25 km/h (16 mph) and have an engine with maximum 1.0 kW (1.36 PS; 1.34 bhp).
road,"The moped must be registered, and must have a number plate with a sticker for that year indicating that the vehicle is road taxed and insured."
motorcycle,"To drive this vehicle, one must have a Category M license (which comes with every car and motorbike license) as well as a motorcycle helmet."
motorcycle,"At the age of 16, one can obtain an A1 license to drive a 50 cc motorcycle which does not conform to the 30 km/h (19 mph) limit and therefore is not regarded as a bicycle anymore."
road,Motorcycles in the city require payment of road tax and must have a valid license plate number.
motorcycle,"However, for home use, a motorcycle might not need to register and the motorcycle will only be able to be used in farms or a small town."
road,Wearing a helmet is a must when riding on a major road and in the city.
yamaha,United Kingdom 1970s Yamaha FS1E The term moped (assigned category AM on a UK driving licence) describes any low-powered motor driven cycle with an engine capacity not greater than 50 cc (3.1 cu in) and a maximum design speed of no more than 45 km/h (28 mph).
motorcycle,"[39] A provisional licence, full motorcycle or car licence is needed to operate a moped."
standard,"A provisional moped licence may be obtained at the age of 16, whereas standard car and motorcycles licences are only available at the age of 17."
engine,"In a few states this number is 20 or 25 mph (32 or 40 km/h), and in most states, the maximum engine capacity is 50 cc (3.1 cu in)."
sport,"Sports moped[edit] Main article: Sport moped In the United Kingdom during the 1970s, a high-performance derivation of the moped concept was developed, aimed at 16-year-olds."
motorcycle,[43] It was created in order to circumvent governmental legislation aimed at forcing young motorcycle riders off the road.
motorcycle,"The law provoked motorcycle manufacturers to develop new class of motorcycle which were then called ""sports mopeds"" or, colloquially, ""sixteener specials"" and was subject to much criticism."
yamaha,"Models were produced by Japanese manufacturers Honda, Yamaha and Suzuki, and European companies such as Puch, Fantic, Gilera, Gitane and Garelli from 1972 onwards, the most famous of which was the Yamaha FS1-E.[46] They included roadsters, enduro and motorcrossers, cafe racers and choppers or scooters,[47] and led to a boom interest in motorcycling similar to the early 1960 rocker period."
motorcycle,The move contributed to the demise of the UK motorcycle market.
honda,"[48] See also[edit] Daelim (Trac) Moped Army Motobecane Jawa Moto Honda Peugeot Piaggio Puch Rabasa Cycles (Derbi) ZF Sachs Tomos Vespa References[edit] ^ ""What is the Difference Between Scooters and Mopeds?""."
road,^ Vienna Convention on Road Traffic ^ a b Schramm; et al.
yamaha,^ How to Restore Yamaha FS1-E. John Watts.
motorcycle,"Hachette UK, 1 Mar 2012 ^ The Motorcycle Book."
sport,"Moped at Curlie vteTypes of motorcyclesStreet Cruiser Sport Touring Sport touring Standard Universal Japanese Motorcycle Custom Bobber Café racer Chopper Cutdown Rat bike Streetfighter Dual-sport Adventure touring Supermoto Off-road Enduro Motocross Track racing Trials Small Minibike Mini chopper Moped (Sport moped) Pit bike Scooter Underbone Electric Electric dragbike TTXGP race class TT Zero race class Emergency services Ambulance Blood Fire Police Other Cabin motorcycle Derny Feet forwards Taxi Trike Streamliner Template:Motorcycles vtePrivate transportMotorized vehicular Car Motorboat Electric bicycle Electric skateboard Hovercraft Motorcycle Moped Scooter (motorcycle) Mobility scooter Private jet Motor ship Submarine Motorized wheelchair Private railroad car Private spaceflight Non-motorized vehicular Bicycle/Cycling Pack animal Roller skates Scooter Skateboard Wheelchair Horse-drawn vehicle Hot air balloon Vehicles for hire Car rental Auto rickshaw Boda-boda Cycle rickshaw Gondola Hackney carriage Motorcycle taxi Paratransit Personal rapid transit Pulled rickshaw Ridesharing company Share taxi Taxicab Shared Shared transport Carsharing Carpooling Car jockey Flexible carpooling Peer-to-peer ridesharing Slugging Vanpool Bicycle-sharing Non vehicular Ice skates Inline skates Running Stair Climbing Swimming Walking Stair Climbing Alternatives Public transport Personal public transport Modal share Personal rapid transit Retrieved from ""https://en.wikipedia.org/w/index.php?title=Moped&oldid=1009814634"" Categories: MopedsMotorcycle classificationsSwedish words and phrasesHidden categories: CS1 Northern Sami-language sources (se)CS1 Swedish-language sources (sv)All articles with dead external linksArticles with dead external links from June 2016Articles with short descriptionShort description matches WikidataUse dmy dates from October 2014Articles containing Swedish-language textArticles needing POV-check from April 2012Articles needing additional references from July 2011All articles needing additional referencesArticles containing Japanese-language textCommons category link is on WikidataArticles with Curlie links"
racing,"From Wikipedia, the free encyclopedia Jump to navigation Jump to search Racing sport using motorcycles This article has multiple issues."
motorcycle,"(January 2016) (Learn how and when to remove this template message) (Learn how and when to remove this template message) Motorcycle racingMotorcycles racing at the 2010 Course du BOCHighest governing bodyFIMFirst playedNovember 29, 1895CharacteristicsMixed genderYesTypeOutdoorPresenceOlympicNoWorld GamesMotocross: 1985; Speedway: 1985 and 2017; Indoor trials 2005 (All invitational sports) Motorcycle racing (also called moto racing and motorbike racing) is the motorcycle sport of racing motorcycles."
motorcycle,"Major varieties include motorcycle road racing and off-road racing, both either on circuits or open courses, and track racing."
racing,"Other categories include hill climbs, drag racing and land speed record trials."
road,Contents 1 Categories 1.1 Road racing 1.1.1 Traditional road racing 1.1.2 Motorcycle Grand Prix 1.1.3 Superbike racing 1.1.4 Supersport racing 1.1.5 Endurance racing 1.1.6 Sidecar racing 1.2 Motocross 1.2.1 Supercross 1.2.2 Supermoto 1.3 Enduro and cross-country 1.3.1 Enduro 1.3.2 Hare Scramble 1.3.3 Cross-country rally 1.4 Track racing 1.4.1 Indoor short track and TT Racing 1.4.2 Speedway 1.4.3 Grasstrack 1.4.4 Ice speedway 1.4.5 Board track 1.4.6 Auto Race 1.5 Other categories 1.5.1 Drag racing/sprints 1.5.2 UK Sprinting 1.5.3 Hill climb 1.5.4 Landspeed racing 1.5.5 Vintage 1.5.6 Super Hooligan 2 See also 3 References 4 External links Categories[edit] The FIM classifies motorcycle racing in the following four main categories.
road,[2] Road racing[edit] Main article: Road racing Road racing is a form of motorcycle racing held on paved road surfaces.
road,Traditional road racing[edit] Competitors line up at the start of the 2010 Senior TT race.
road,"This form of road racing differs from others as it takes the form of an individual Time Trial, but other historic TT events have differed, using mass-grid starts and Le Mans starts Historically, ""road racing"" meant a course on closed public roads."
road,"Two championships exist, the first is the International Road Racing Championship[clarification needed], the other is the Duke Road Racing Rankings."
road,"The latter accounts for the majority of road races that take place each season, with an award for the highest placed rider."
road,"Prominent road races include the Isle of Man TT, North West 200, and Ulster Grand Prix on long circuits."
road,Ireland has many road racing circuits still in use.
road,"Other countries with road races are the Netherlands, Finland, Spain, Belgium, Germany, Great Britain (Oliver's Mount), the Czech Republic, Ukraine, New Zealand, Indonesia and Macau."
